@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N15-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.MLPAutoencoder -N 15 -L 0.01 -O 1.0E-6 -P 1 -E 1 -weights-file \"C:\\\\Program Files\\\\Weka-3-8\" -S 1 -seed 1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 10.0 -no-replacement-Fweka.filters.AllFilter'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute Class {opel,saab,bus,van}

@data
0.000017,0,0.041407,0.519962,0.991947,0.501742,0.683045,0.719023,0.326641,1,0.028875,0.434691,0.000006,0.836496,0.315246,bus
0.614013,0,0,0.598649,0.00068,0.539647,0.486388,0.321571,0.754978,0.602997,0.999999,0.037195,0.999035,0.442718,0.087551,opel
0.978191,0,0.002085,0.399293,0.000014,0.444388,0.081631,0.197073,0.612117,1,0.287807,0.683373,0.000122,0.133481,0.47951,saab
0.35198,0,0,0.35156,0.002291,0.105268,0.587031,0.903372,0.361996,0.591031,0.999999,0.457047,0.999252,0.624201,0.134787,saab
0.960912,0,0.028757,0.572927,0.000023,0.988896,0.043781,0.025016,0.939492,1,0.03392,0.473505,0.000009,0.046998,0.628951,saab
0.529596,0,0,0.3518,0.001002,0.461118,0.267044,0.384808,0.858715,0.978609,0.999979,0.215318,0.973936,0.08043,0.667762,opel
0.00041,0,0.982285,0.257979,0.790246,0.163563,0.643108,0.898685,0.352648,1,0.000028,0.728784,0,0.884509,0.58422,van
0.003372,0,0.000248,0.119074,0.326131,0.393114,0.889689,0.966624,0.655778,0.999999,0.817796,0.098123,0.001614,0.480795,0.161905,van
0.024298,0,0.000289,0.620559,0.04562,0.293664,0.825731,0.682584,0.34622,0.999999,0.805177,0.22083,0.001226,0.641458,0.617405,saab
0.26829,0,0,0.105865,0.003497,0.757513,0.672998,0.574704,0.759946,0.535036,0.999999,0.589897,0.99944,0.075406,0.837262,saab
0.001439,0,0.012532,0.895903,0.438284,0.758127,0.736926,0.130508,0.185045,1,0.086138,0.114658,0.000019,0.900963,0.217937,bus
0.107632,0,0,0.287782,0.012268,0.065156,0.819002,0.848413,0.376506,0.848392,0.999997,0.738064,0.997382,0.086787,0.615269,opel
0.440174,0,0.070289,0.430339,0.001093,0.302522,0.920148,0.603058,0.539249,1,0.015893,0.5166,0.000004,0.647792,0.731117,bus
0.87157,0,0.012004,0.785945,0.000098,0.818138,0.035988,0.024057,0.581975,1,0.068457,0.583189,0.000017,0.119073,0.937562,saab
0.000117,0,0.437185,0.058067,0.929781,0.916779,0.151419,0.752737,0.888111,1,0.001447,0.72563,0,0.505652,0.399287,van
0.001269,0,0.000246,0.076715,0.579555,0.433241,0.962183,0.916115,0.611988,0.999999,0.831419,0.119516,0.001797,0.693171,0.100418,van
0.000012,0,0.806059,0.186065,0.994746,0.423546,0.746144,0.877088,0.105083,1,0.00036,0.666826,0,0.552236,0.603636,van
0.010979,0,0.945052,0.292524,0.086257,0.956083,0.060574,0.110542,0.849298,1,0.000077,0.05825,0,0.330298,0.654801,opel
0.000015,0,0.999582,0.733539,0.992108,0.484685,0.238514,0.567615,0.286303,1,0.000001,0.698535,0,0.918759,0.132877,opel
0.036886,0,0,0.367089,0.034959,0.895962,0.384151,0.519571,0.887072,0.76542,0.999998,0.48816,0.998417,0.061367,0.91744,opel
0.000029,0,0.560311,0.152397,0.986033,0.297272,0.299143,0.969788,0.548498,1,0.000992,0.881021,0,0.92262,0.099206,van
0.003666,0,0.047139,0.801594,0.241291,0.149359,0.871183,0.7024,0.274797,1,0.029767,0.10761,0.000006,0.954045,0.173768,bus
0.587498,0,0.001875,0.50401,0.000614,0.455598,0.865641,0.733981,0.740916,1,0.407394,0.727824,0.000209,0.280406,0.891625,opel
0.002113,0,0.026449,0.620469,0.418647,0.072003,0.948545,0.905533,0.289235,1,0.047375,0.290518,0.000011,0.692138,0.523734,bus
0.606053,0,0.038187,0.66459,0.000498,0.544986,0.263346,0.180091,0.506874,1,0.024489,0.319845,0.000005,0.62675,0.324412,bus
0.98628,0,0.014526,0.477097,0.00001,0.101293,0.915553,0.779579,0.673807,1,0.065837,0.917974,0.000018,0.028673,0.866802,saab
0.970875,0,0.000001,0.596834,0.000024,0.899523,0.082473,0.07531,0.959434,0.999082,0.999502,0.023282,0.518372,0.053278,0.538078,saab
0.389624,0,0.024823,0.735979,0.001331,0.550946,0.879216,0.516366,0.433255,1,0.041197,0.054385,0.000009,0.793927,0.123548,van
0.966145,0,0.054356,0.88958,0.000025,0.073606,0.843492,0.86879,0.677827,1,0.019041,0.735739,0.000004,0.60785,0.099408,bus
0.054647,0,0,0.64754,0.022516,0.107909,0.794378,0.880368,0.357067,0.824666,0.999998,0.135905,0.997609,0.928464,0.046663,saab
0.9381,0,0,0.700143,0.000053,0.760058,0.080026,0.142453,0.848444,0.997287,0.99983,0.052114,0.778094,0.441733,0.33333,saab
0.000051,0,0.011904,0.411162,0.973093,0.53252,0.88682,0.739852,0.308584,1,0.096598,0.430648,0.000026,0.772136,0.701471,bus
0.001852,0,0.916244,0.082431,0.407543,0.742553,0.435334,0.296096,0.28843,1,0.000125,0.802674,0,0.497115,0.93445,saab
0.632406,0,0.000281,0.853195,0.000464,0.61356,0.036093,0.107403,0.680034,0.999999,0.774683,0.162069,0.000953,0.253514,0.551707,opel
0.164825,0,0,0.547792,0.00644,0.107744,0.877146,0.743424,0.168942,0.4515,1,0.196548,0.999618,0.848244,0.069207,opel
0.978215,0,0,0.018968,0.00002,0.819908,0.559025,0.441759,0.148318,0.570593,0.999999,0.97336,0.999468,0.12361,0.985329,saab
