@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N15-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.MLPAutoencoder -N 15 -L 0.01 -O 1.0E-6 -P 1 -E 1 -weights-file \"C:\\\\Program Files\\\\Weka-3-8\" -S 1 -seed 1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement-Fweka.filters.AllFilter'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute Class {opel,saab,bus,van}

@data
0.353608,0,0.000223,0.398908,0.001715,0.463509,0.825686,0.60439,0.334028,0.999999,0.842896,0.652099,0.001933,0.421516,0.8989,opel
0.000169,0,0,0.94319,0.910228,0.843185,0.136509,0.704861,0.905341,0.272961,1,0.392541,0.999796,0.73597,0.843188,bus
0.000494,0,0,0.93679,0.766376,0.909982,0.356275,0.025467,0.165611,0.000342,1,0.800163,1,0.899042,0.923221,bus
0.719619,0,0.001731,0.961819,0.00028,0.109068,0.034286,0.385874,0.441294,1,0.307513,0.88599,0.000113,0.788169,0.069278,bus
0.001394,0,0.001389,0.224908,0.519157,0.533977,0.918173,0.914284,0.164357,1,0.45412,0.507684,0.000283,0.310486,0.454734,van
0.986782,0,0.003459,0.846604,0.000009,0.204747,0.8468,0.573502,0.622401,1,0.229311,0.859675,0.000081,0.757015,0.140949,bus
0.264926,0,0.000931,0.323314,0.002719,0.24268,0.699054,0.788838,0.67417,1,0.526623,0.068209,0.000336,0.639961,0.046713,van
0.000293,0,0.374063,0.54986,0.833628,0.832637,0.298582,0.379758,0.43121,1,0.002133,0.11275,0,0.123535,0.668466,opel
0.973706,0,0.000141,0.406505,0.000017,0.899666,0.049486,0.068429,0.848758,0.999997,0.861077,0.778174,0.002494,0.124746,0.527224,opel
0.000074,0,0.036081,0.724573,0.954628,0.673686,0.817362,0.38765,0.229998,1,0.033768,0.161364,0.000007,0.69571,0.508528,bus
0.310471,0,0.007659,0.381413,0.002057,0.373967,0.828212,0.850715,0.535295,1,0.131216,0.829666,0.000041,0.45463,0.878912,saab
0.950123,0,0.973129,0.455296,0.000037,0.236102,0.879146,0.836701,0.873613,1,0.000038,0.519166,0,0.251313,0.458754,van
0.390329,0,0.976026,0.066726,0.001543,0.143406,0.893831,0.884233,0.339452,1,0.000031,0.928971,0,0.038356,0.975762,opel
0.000011,0,0.073683,0.806604,0.994665,0.362821,0.536354,0.91025,0.522373,1,0.017164,0.309174,0.000003,0.922627,0.075933,bus
0.605478,0,0.031795,0.89041,0.000428,0.650077,0.026588,0.185519,0.595977,1,0.027368,0.152905,0.000005,0.569296,0.397584,opel
0.039072,0,0,0.405004,0.032978,0.319608,0.544258,0.948144,0.56192,0.968319,0.999987,0.358937,0.984835,0.310029,0.627193,saab
0.000014,0,0.927402,0.929047,0.992395,0.923082,0.26176,0.14598,0.412562,1,0.000135,0.09947,0,0.850455,0.221123,opel
0.314853,0,0.025423,0.817696,0.001645,0.699859,0.440537,0.175576,0.507962,1,0.039682,0.379135,0.000009,0.785649,0.270005,bus
0.000077,0,0.035364,0.725829,0.95126,0.854866,0.320671,0.750185,0.760212,1,0.035566,0.202079,0.000008,0.903226,0.153416,bus
0.971806,0,0.000147,0.177894,0.000024,0.184706,0.861083,0.824333,0.594362,0.999998,0.872982,0.871705,0.002872,0.159812,0.71074,saab
0.993135,0,0.001016,0.820094,0.000004,0.500357,0.034955,0.091851,0.876542,1,0.459654,0.432906,0.000233,0.043873,0.344972,opel
0.286025,0,0.000001,0.868016,0.002559,0.073361,0.941849,0.833577,0.098937,0.999657,0.999144,0.213029,0.357456,0.935624,0.542793,saab
0.000006,0,0.016997,0.509722,0.99743,0.534671,0.744864,0.966224,0.527242,1,0.069038,0.566398,0.000017,0.814393,0.312115,bus
0.01521,0,0.592823,0.655678,0.067008,0.088269,0.049852,0.897941,0.611478,1,0.00068,0.206065,0,0.736932,0.113382,opel
0.044834,0,0.523775,0.512934,0.021287,0.094531,0.166774,0.872884,0.285652,1,0.000773,0.665538,0,0.375549,0.173424,van
0.971653,0,0,0.558427,0.000025,0.055274,0.630966,0.777055,0.764485,0.998755,0.999685,0.460004,0.643593,0.503795,0.234752,opel
0.423125,0,0,0.51245,0.001506,0.289821,0.108919,0.884322,0.927464,0.992475,0.999937,0.070217,0.913387,0.153527,0.177639,opel
0.182007,0,0,0.482419,0.005807,0.105262,0.963599,0.881482,0.046592,0.460482,1,0.428649,0.999684,0.85721,0.534582,opel
0.000027,0,0.047387,0.565679,0.985754,0.349721,0.67159,0.91567,0.205149,1,0.024697,0.52937,0.000005,0.828886,0.175868,bus
0.341394,0,0.150951,0.645712,0.001758,0.151685,0.943211,0.937333,0.303555,1,0.006682,0.308068,0.000001,0.628482,0.218507,van
0.003149,0,0.068741,0.620089,0.270844,0.9074,0.084556,0.128911,0.752889,1,0.013861,0.131048,0.000002,0.185739,0.884616,saab
0.363956,0,0,0.798983,0.001922,0.141022,0.841113,0.456646,0.153001,0.708085,0.999999,0.122176,0.998736,0.921295,0.076716,saab
0.000348,0,0.003423,0.47536,0.838228,0.421165,0.938529,0.902835,0.849368,1,0.297765,0.040623,0.000107,0.44239,0.058423,van
0.754929,0,0,0.563802,0.000298,0.949051,0.637665,0.10363,0.713343,0.72557,0.999998,0.117002,0.998333,0.715926,0.295253,opel
0.013068,0.000002,0.027407,0.479947,0.054137,0.975678,0.427865,0.838424,0.010583,1,0.029955,0.09784,0.000008,0.113622,0.052284,bus
