@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N15-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.MLPAutoencoder -N 15 -L 0.01 -O 1.0E-6 -P 1 -E 1 -weights-file \"C:\\\\Program Files\\\\Weka-3-8\" -S 1 -seed 1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 80.0 -no-replacement-Fweka.filters.AllFilter'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute Class {opel,saab,bus,van}

@data
0.98386,0,0.096776,0.047644,0.000012,0.035545,0.808498,0.766093,0.565009,1,0.006672,0.943285,0.000002,0.05395,0.451733,van
0.000189,0,0.015987,0.908033,0.885196,0.676168,0.746603,0.372394,0.550272,1,0.077151,0.087707,0.000016,0.852044,0.267866,bus
0.820507,0,0,0.644947,0.000207,0.96853,0.155502,0.088214,0.964443,0.943404,0.99999,0.017473,0.987827,0.126003,0.565542,saab
0.078511,0,0.034284,0.574836,0.011023,0.367784,0.565868,0.224343,0.190612,1,0.028624,0.351704,0.000006,0.637605,0.4219,bus
0.252113,0,0.013386,0.813348,0.002572,0.262515,0.05621,0.320927,0.649927,1,0.066959,0.363512,0.000015,0.238381,0.531811,saab
0.438407,1,0.000008,0.237303,0.000441,0.999845,0.933688,0.383078,0,0.999985,0.980861,0.094492,0.032609,0.326262,0.000149,van
0.000998,0,0.861206,0.371381,0.533987,0.962781,0.096546,0.199248,0.571978,1,0.000203,0.227068,0,0.539466,0.629742,opel
0.036461,0,0.008815,0.286488,0.029253,0.527185,0.528418,0.733551,0.419957,1,0.092333,0.215619,0.000026,0.196787,0.541862,van
0.99252,0,0.000006,0.605483,0.000006,0.855918,0.240409,0.032302,0.804908,0.999937,0.994455,0.208086,0.077365,0.032309,0.760817,saab
0.000337,0,0,0.904438,0.829858,0.211565,0.100914,0.648954,0.896713,0.916166,0.999995,0.871738,0.993742,0.829199,0.444822,bus
0.131453,0,0,0.653229,0.007816,0.738628,0.314319,0.366091,0.876803,0.97982,0.999978,0.050396,0.970492,0.386208,0.318845,saab
0.260676,0,0,0.578113,0.003055,0.590085,0.8439,0.17029,0.080512,0.520064,0.999999,0.344785,0.99946,0.862293,0.186217,opel
0.00006,0,0,0.948939,0.971187,0.716355,0.149894,0.200239,0.86031,0.008682,1,0.457873,0.999995,0.395351,0.801732,bus
0.056099,0,0.310399,0.612317,0.01621,0.298712,0.205439,0.653749,0.498482,1,0.002065,0.241297,0,0.361092,0.366606,van
0.774525,0,0.9809,0.238103,0.000209,0.606186,0.305466,0.487614,0.941905,1,0.000024,0.71616,0,0.278212,0.358368,van
0.000084,0,0.046723,0.867631,0.947007,0.733403,0.717851,0.346718,0.310072,1,0.027962,0.096605,0.000005,0.89491,0.144429,bus
0.995804,0,0.000002,0.04621,0.000003,0.243285,0.857445,0.670712,0.554132,0.999877,0.997203,0.969985,0.186564,0.03817,0.943139,opel
0.320157,0,0,0.939115,0.002271,0.18635,0.90419,0.68546,0.232366,0.777286,0.999998,0.076852,0.998047,0.95837,0.230636,opel
0.495974,0,0.386335,0.477064,0.000838,0.146301,0.914843,0.934544,0.271562,1,0.001901,0.409277,0,0.505431,0.175969,van
0.002042,0,0.000301,0.244262,0.430452,0.66915,0.923862,0.844685,0.731937,0.999999,0.808248,0.021945,0.001329,0.623942,0.075217,van
0.727447,0,0.024072,0.824047,0.000266,0.366422,0.231455,0.133093,0.261697,1,0.03367,0.766222,0.000008,0.727983,0.334301,bus
