@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N15-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1-weka.filters.unsupervised.instance.Resample-S1-Z40.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.MLPAutoencoder -N 15 -L 0.01 -O 1.0E-6 -P 1 -E 1 -weights-file \"C:\\\\Program Files\\\\Weka-3-8\" -S 1 -seed 1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 40.0 -no-replacement-Fweka.filters.AllFilter'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute hidden_unit_3output numeric
@attribute hidden_unit_4output numeric
@attribute hidden_unit_5output numeric
@attribute hidden_unit_6output numeric
@attribute hidden_unit_7output numeric
@attribute hidden_unit_8output numeric
@attribute hidden_unit_9output numeric
@attribute hidden_unit_10output numeric
@attribute hidden_unit_11output numeric
@attribute hidden_unit_12output numeric
@attribute hidden_unit_13output numeric
@attribute hidden_unit_14output numeric
@attribute Class {opel,saab,bus,van}

@data
0.000686,0,0.006731,0.868849,0.647035,0.588815,0.931884,0.326271,0.096881,1,0.169694,0.121656,0.000046,0.977242,0.298902,bus
0.722295,0,0.001533,0.140945,0.000334,0.298591,0.832555,0.751089,0.237019,1,0.368123,0.394016,0.000195,0.581171,0.433539,van
0.898692,0,0.033955,0.951097,0.000074,0.072546,0.096217,0.335325,0.492912,1,0.022452,0.626232,0.000004,0.801715,0.034249,bus
0.047231,0,0,0.625919,0.024637,0.975205,0.410556,0.21383,0.957217,0.89141,0.999994,0.121423,0.994034,0.201507,0.216735,opel
0.220079,0,0.042609,0.659671,0.003352,0.133956,0.975189,0.744459,0.088176,1,0.024372,0.431817,0.000006,0.607813,0.542205,van
0.401985,0,0.705577,0.332979,0.001102,0.943402,0.121624,0.234451,0.956787,1,0.000446,0.414164,0,0.218889,0.268978,van
0.671305,0,0.000002,0.820783,0.000412,0.819708,0.084999,0.036672,0.710864,0.999845,0.997988,0.035158,0.175685,0.504029,0.403315,saab
0.008458,0,0,0.258754,0.157266,0.219109,0.529616,0.893527,0.580787,0.979185,0.999982,0.591837,0.979973,0.08462,0.811212,opel
0.000015,0,0.068043,0.768126,0.992041,0.507499,0.617879,0.869572,0.514684,1,0.018729,0.204669,0.000004,0.889794,0.080222,bus
0.040624,0.000045,0.004303,0.753619,0.015474,0.886824,0.571867,0.731491,0.008604,1,0.167368,0.077502,0.000051,0.826856,0.011361,bus
0.017286,0,0,0.577238,0.081382,0.134679,0.738912,0.929733,0.836792,0.739798,0.999998,0.41059,0.998432,0.568136,0.148239,opel
0.005592,0,0.99736,0.420594,0.143121,0.848854,0.11216,0.346272,0.708418,1,0.000004,0.21257,0,0.783235,0.46891,saab
0.980042,0,0.025038,0.362768,0.000014,0.196527,0.555849,0.645176,0.767989,1,0.034155,0.383398,0.000009,0.376547,0.108946,van
0.042501,0,0.000002,0.886233,0.026382,0.030391,0.440506,0.907944,0.34843,0.999757,0.998773,0.814555,0.279717,0.664576,0.551457,bus
0.515024,0,0,0.478956,0.001073,0.092303,0.790537,0.83686,0.533456,0.996868,0.999901,0.18789,0.861415,0.783881,0.399478,opel
0.237953,0,0.864271,0.331254,0.002685,0.084689,0.090513,0.933142,0.953369,1,0.000155,0.42437,0,0.556268,0.070165,van
0.000087,0,0.984922,0.64838,0.946159,0.339417,0.132517,0.859326,0.515216,1,0.000024,0.157861,0,0.779478,0.092185,saab
0.948072,0,0.000006,0.169488,0.000048,0.091081,0.922787,0.612724,0.190034,0.999959,0.993418,0.947206,0.071615,0.055578,0.972672,opel
0.000024,0,0.637788,0.152684,0.98857,0.517627,0.515987,0.925031,0.46893,1,0.000727,0.939599,0,0.458734,0.547011,van
0.698277,0,0.000325,0.031539,0.00041,0.171412,0.899214,0.783517,0.085629,0.999999,0.726946,0.864984,0.001175,0.437462,0.87946,van
0.000016,0,0.059427,0.572361,0.991855,0.599245,0.719882,0.67069,0.368357,1,0.02096,0.428663,0.000004,0.805247,0.34386,bus
0.977864,0,0.004803,0.779303,0.000015,0.130658,0.924351,0.780083,0.236155,1,0.178598,0.790943,0.000062,0.781665,0.196281,bus
0.739293,0,0.00219,0.281802,0.000295,0.412371,0.625949,0.65364,0.581175,1,0.287151,0.163299,0.000119,0.628533,0.101037,van
0.622976,0,0.118759,0.571259,0.000486,0.245782,0.897668,0.884906,0.546733,1,0.008702,0.255742,0.000002,0.750049,0.083482,van
0.000012,0,0.058933,0.65854,0.994192,0.879328,0.410236,0.818047,0.674783,1,0.020685,0.310053,0.000004,0.584239,0.342994,bus
0.884623,0,0,0.33529,0.000129,0.53151,0.439928,0.515477,0.559526,0.835949,0.999997,0.310137,0.997047,0.735769,0.378002,saab
0.000117,0,0.980021,0.553269,0.931214,0.42291,0.200415,0.829316,0.716307,1,0.000029,0.106445,0,0.862847,0.117735,van
0.000036,0,0.999525,0.274684,0.978815,0.921038,0.26483,0.203472,0.241578,1,0.000001,0.964889,0,0.791187,0.763437,saab
0.626831,0,0,0.12525,0.00062,0.914559,0.586246,0.103813,0.141358,0.4433,0.999999,0.688243,0.999649,0.251999,0.804726,saab
0.000071,0,0.714255,0.883648,0.958125,0.149286,0.227737,0.88018,0.608005,1,0.000573,0.104892,0,0.519803,0.25886,saab
0.338175,0,0.021518,0.652046,0.001488,0.191173,0.071878,0.402953,0.129135,1,0.03599,0.446348,0.000008,0.712911,0.393706,saab
0.000015,0,0.992501,0.1478,0.992376,0.852859,0.235031,0.562052,0.539482,1,0.000012,0.822788,0,0.736329,0.362261,van
0.0011,0,0.002775,0.183303,0.600047,0.208916,0.958058,0.89513,0.156551,1,0.294511,0.680672,0.000135,0.354359,0.347159,van
0.592157,0,0,0.168613,0.000697,0.941501,0.217442,0.326736,0.689802,0.956752,0.999988,0.762156,0.988783,0.125416,0.970535,saab
0.000046,0,0.974043,0.560678,0.973457,0.27591,0.254344,0.836044,0.139306,1,0.000039,0.532133,0,0.840452,0.220801,saab
0.000052,0,0.271165,0.558803,0.972363,0.130774,0.406676,0.825908,0.032139,1,0.003189,0.948237,0.000001,0.832016,0.445442,saab
0.981564,0,0.73205,0.263248,0.000012,0.075859,0.434527,0.863443,0.742811,1,0.000331,0.873377,0,0.133154,0.219873,van
