@relation 'vehicle-weka.filters.unsupervised.attribute.RandomProjection-N15-R42-DSparse1-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RandomProjection -N 15 -R 42 -D Sparse1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 20.0 -no-replacement-Fweka.filters.AllFilter'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute Class {opel,saab,bus,van}

@data
871.221556,320.429399,278.86018,-110.851252,-6.928203,-1103.316364,142.028166,-374.122974,-1383.908595,116.047404,197.453792,278.86018,103.923048,-72.746134,-718.801085,opel
843.508743,420.888346,320.429399,-188.793538,58.889727,-1144.885584,135.099963,-484.974226,-2106.173782,145.492268,867.757455,348.142212,209.578148,-13.856406,-930.111284,bus
964.7523,439.940905,327.357603,-213.042249,103.923048,-1288.645801,164.544827,-514.41909,-2556.506992,147.224319,1113.708669,355.070416,178.401233,-34.641016,-990.733062,bus
864.293353,226.898656,214.7743,-17.320508,-50.229473,-1075.603552,152.420471,-258.07557,-1470.511136,105.655099,270.199926,316.965298,91.798693,-178.401233,-665.10751,bus
770.762609,301.376841,285.788383,-69.282032,27.712813,-1006.321519,135.099963,-353.338365,-1228.024023,110.851252,129.903811,285.788383,162.812776,-62.353829,-703.212628,van
876.417709,275.396078,245.951215,-45.033321,-45.033321,-1111.976618,154.152522,-311.769145,-1316.358614,96.994845,105.655099,294.448637,69.282032,-117.779455,-668.571612,bus
827.920286,263.271723,282.324282,-3.464102,-10.392305,-1084.263806,143.760217,-308.305044,-1269.593242,129.903811,91.798693,296.180688,107.38715,-138.564065,-654.715205,van
753.442101,233.826859,294.448637,-48.497423,-17.320508,-943.96769,124.707658,-301.376841,-1065.211247,107.38715,48.497423,275.396078,129.903811,-103.923048,-599.289579,opel
898.934369,223.434554,290.984536,-41.569219,-36.373067,-1122.368923,145.492268,-306.572993,-1473.975237,122.975607,254.611469,299.64479,88.334591,-192.25764,-607.949833,opel
753.442101,292.716586,285.788383,-76.210236,13.856406,-980.340757,136.832014,-342.94606,-1157.009939,102.190998,76.210236,289.252485,143.760217,-60.621778,-680.695967,bus
