@relation 'vehicle-weka.filters.unsupervised.attribute.RandomProjection-N15-R42-DSparse1-weka.filters.unsupervised.instance.Resample-S1-Z30.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RandomProjection -N 15 -R 42 -D Sparse1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 30.0 -no-replacement-Fweka.filters.AllFilter'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute Class {opel,saab,bus,van}

@data
791.547219,209.578148,299.64479,-58.889727,-83.138439,-968.216401,129.903811,-296.180688,-1027.106129,100.458947,-10.392305,282.324282,91.798693,-150.68842,-509.222937,opel
800.207473,206.114046,259.807621,12.124356,-62.353829,-992.465113,135.099963,-249.415316,-1039.230485,109.119201,-46.765372,294.448637,84.87049,-169.740979,-576.772919,van
886.810013,214.7743,251.147367,6.928203,-64.08588,-1110.244568,142.028166,-261.539672,-1411.621408,128.17176,233.826859,284.056332,81.406388,-187.061487,-604.485732,saab
907.594623,315.233247,265.003774,-86.60254,-1.732051,-1146.617635,145.492268,-351.606314,-1422.013713,126.439709,209.578148,258.07557,103.923048,-83.138439,-722.265187,saab
862.561302,213.042249,249.415316,-12.124356,-50.229473,-1080.799704,152.420471,-263.271723,-1389.104748,96.994845,192.25764,311.769145,84.87049,-185.329436,-609.681884,bus
900.66642,285.788383,254.611469,-76.210236,-8.660254,-1129.297127,155.884573,-323.893501,-1427.209865,96.994845,195.721741,280.592231,103.923048,-112.583302,-680.695967,bus
793.27927,232.094808,301.376841,-55.425626,-41.569219,-1008.05357,133.367912,-310.037095,-1186.454803,105.655099,96.994845,292.716586,100.458947,-136.832014,-575.040868,saab
902.398471,223.434554,258.07557,6.928203,-48.497423,-1139.689431,142.028166,-268.467875,-1515.544457,135.099963,306.572993,290.984536,86.60254,-192.25764,-621.80624,saab
827.920286,290.984536,247.683265,-38.105118,-25.980762,-1065.211247,150.68842,-318.697349,-1176.062498,109.119201,8.660254,284.056332,81.406388,-88.334591,-696.284425,van
963.020249,339.481958,311.769145,-46.765372,64.08588,-1307.69836,164.544827,-400.103737,-2116.566087,164.544827,692.820323,322.16145,114.315353,-124.707658,-822.724134,opel
