@relation 'vehicle-weka.filters.unsupervised.attribute.RandomProjection-N15-R42-DSparse1-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RandomProjection -N 15 -R 42 -D Sparse1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 60.0 -no-replacement-Fweka.filters.AllFilter'

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute Class {opel,saab,bus,van}

@data
734.389542,284.056332,297.912739,-72.746134,17.320508,-957.824097,131.635861,-342.94606,-1122.368923,98.726896,67.549981,292.716586,150.68842,-58.889727,-670.303663,bus
770.762609,265.003774,271.931977,-72.746134,-15.588457,-971.680503,129.903811,-316.965298,-1170.866346,109.119201,110.851252,287.520434,135.099963,-96.994845,-647.787002,saab
786.351067,266.735824,280.592231,-38.105118,-50.229473,-990.733062,128.17176,-294.448637,-940.503589,95.262794,-107.38715,271.931977,95.262794,-88.334591,-609.681884,van
767.298508,297.912739,254.611469,-53.693575,-20.78461,-997.661265,138.564065,-327.357603,-1150.081736,98.726896,65.817931,289.252485,112.583302,-55.425626,-699.748526,bus
829.652337,249.415316,247.683265,-34.641016,-34.641016,-1049.622789,140.296115,-294.448637,-1423.745764,121.243557,277.128129,304.840942,107.38715,-142.028166,-675.499815,saab
819.260032,181.865335,258.07557,32.908965,-50.229473,-994.197164,145.492268,-287.520434,-1098.120212,133.367912,0,254.611469,86.60254,-168.008928,-571.576766,van
793.27927,273.664028,296.180688,-93.530744,-10.392305,-997.661265,129.903811,-337.749907,-1146.617635,103.923048,69.282032,280.592231,131.635861,-93.530744,-628.734443,saab
933.575385,363.73067,308.305044,-124.707658,72.746134,-1221.095819,152.420471,-429.5486,-1901.791787,154.152522,561.184462,310.037095,161.080725,-95.262794,-824.456184,saab
940.503589,355.070416,287.520434,-86.60254,60.621778,-1245.344531,161.080725,-405.299889,-1995.32253,154.152522,627.002392,313.501196,145.492268,-107.38715,-822.724134,saab
895.470268,303.108891,341.214009,-53.693575,39.837169,-1203.775311,135.099963,-386.24733,-1882.739228,166.276878,620.074189,306.572993,155.884573,-131.635861,-739.585695,opel
859.097201,287.520434,282.324282,-65.817931,25.980762,-1084.263806,152.420471,-341.214009,-1274.789394,129.903811,67.549981,277.128129,136.832014,-122.975607,-672.035713,van
907.594623,327.357603,271.931977,-117.779455,17.320508,-1144.885584,143.760217,-381.051178,-1714.730299,155.884573,469.385769,301.376841,148.956369,-114.315353,-791.547219,saab
890.274115,360.266568,285.788383,-114.315353,34.641016,-1186.454803,152.420471,-405.299889,-1832.509754,128.17176,535.2037,330.821704,138.564065,-74.478185,-841.776692,bus
833.116438,213.042249,265.003774,-31.176915,-43.30127,-1035.766383,147.224319,-278.86018,-1262.665039,102.190998,110.851252,294.448637,86.60254,-171.47303,-585.433173,saab
782.886965,228.630707,297.912739,-81.406388,-64.08588,-961.288198,126.439709,-311.769145,-1075.603552,109.119201,45.033321,282.324282,109.119201,-131.635861,-555.988309,saab
841.776692,247.683265,226.898656,-22.51666,-41.569219,-1073.871501,147.224319,-271.931977,-1510.348304,105.655099,330.821704,322.16145,110.851252,-154.152522,-696.284425,bus
720.533136,294.448637,277.128129,-46.765372,12.124356,-959.556147,122.975607,-322.16145,-1137.957381,103.923048,102.190998,301.376841,152.420471,-50.229473,-713.604933,bus
781.154914,280.592231,318.697349,-64.08588,27.712813,-1018.445875,131.635861,-355.070416,-1208.971464,126.439709,112.583302,277.128129,159.348674,-86.60254,-654.715205,van
853.901048,299.64479,263.271723,-67.549981,-13.856406,-1082.531755,138.564065,-330.821704,-1278.253496,112.583302,122.975607,278.86018,105.655099,-86.60254,-704.944679,saab
826.188235,237.290961,278.86018,-53.693575,-41.569219,-1040.962535,140.296115,-313.501196,-1363.123986,110.851252,223.434554,301.376841,96.994845,-143.760217,-630.466494,opel
734.389542,275.396078,254.611469,-72.746134,15.588457,-928.379233,122.975607,-294.448637,-1146.617635,88.334591,121.243557,301.376841,166.276878,-69.282032,-689.356221,opel
805.403626,197.453792,292.716586,5.196152,-71.014083,-1014.981773,136.832014,-261.539672,-1066.943297,102.190998,-12.124356,275.396078,83.138439,-162.812776,-519.615242,van
926.647182,256.34352,259.807621,-50.229473,-15.588457,-1176.062498,166.276878,-315.233247,-1673.16108,117.779455,367.194771,310.037095,79.674337,-169.740979,-677.231866,bus
940.503589,355.070416,308.305044,-81.406388,71.014083,-1262.665039,162.812776,-417.424245,-2078.460969,150.68842,698.016475,311.769145,140.296115,-90.066642,-834.848489,opel
826.188235,287.520434,280.592231,-65.817931,-29.444864,-1037.498434,126.439709,-323.893501,-1111.976618,114.315353,32.908965,261.539672,110.851252,-79.674337,-652.983154,saab
803.671575,244.219164,275.396078,-72.746134,-86.60254,-982.072808,131.635861,-311.769145,-1058.283043,116.047404,3.464102,282.324282,81.406388,-128.17176,-564.648563,saab
905.862572,339.481958,289.252485,-93.530744,19.052559,-1179.5266,140.296115,-384.515279,-1612.539302,143.760217,356.802466,299.64479,121.243557,-93.530744,-775.958762,opel
