@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.15-A5-M-1-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.PrincipalComponents -R 0.15 -A 5 -M -1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 60.0 -no-replacement-Fweka.filters.AllFilter'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute Class {opel,saab,bus,van}

@data
2.402707,bus
2.310482,saab
3.392041,van
2.081231,bus
0.634822,saab
2.168268,van
1.79977,saab
-4.630708,saab
-4.868555,saab
-3.948774,opel
0.287788,van
-2.460737,saab
-3.280147,bus
1.799576,saab
3.255442,saab
0.176659,bus
2.242452,bus
0.986572,van
0.372833,saab
0.999018,opel
2.851477,opel
3.114477,van
-1.205968,bus
-4.909764,opel
1.665195,saab
3.292955,saab
-2.605627,opel
2.782361,saab
1.367086,bus
-4.334441,saab
4.759582,van
-3.913707,opel
3.366972,saab
4.378136,opel
-0.933212,bus
-0.218911,bus
-3.096956,bus
4.865465,van
0.12066,van
2.576332,van
2.921111,van
1.023751,opel
3.240899,van
2.290748,saab
-1.170018,saab
-3.357072,saab
1.365229,opel
-4.086751,opel
4.400276,saab
-4.000172,opel
2.924068,van
1.190219,saab
3.696064,van
3.357884,van
3.550339,van
-1.826863,bus
4.9887,van
3.352726,opel
1.703376,bus
0.225768,bus
5.035506,van
2.121479,bus
-3.662057,opel
0.711786,opel
0.978034,bus
-1.714287,bus
-5.273552,saab
4.086904,opel
-4.811142,saab
2.440583,bus
-6.767026,bus
-1.412227,saab
-4.253553,opel
2.316208,saab
2.362766,bus
2.313778,bus
-1.134671,opel
-3.857133,saab
2.026783,opel
-3.966097,saab
4.031177,saab
2.375731,van
-1.26546,opel
0.45377,bus
2.119881,bus
-3.634632,opel
4.202553,van
-2.28995,bus
1.423078,bus
2.958572,van
1.677258,bus
-2.706484,bus
0.493791,van
1.509235,bus
2.447177,bus
1.283095,bus
3.011781,opel
3.934862,van
2.55681,bus
0.312947,van
-0.332619,van
2.161561,bus
-4.421711,bus
1.011141,van
2.318255,bus
0.189452,van
1.69916,opel
0.550683,van
1.168095,opel
2.558807,bus
-1.792552,saab
2.462179,opel
-4.47455,opel
-1.125655,opel
-4.161611,saab
2.509723,bus
2.202838,van
-4.41147,saab
2.407384,opel
2.612468,bus
2.718014,van
3.09355,van
0.372666,saab
-3.332454,opel
0.196431,saab
2.146977,saab
-3.986792,opel
0.145201,van
-2.272799,opel
3.281223,opel
-0.057591,van
-0.152282,opel
