@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.15-A5-M-1-weka.filters.unsupervised.instance.Resample-S1-Z90.0-no-replacement-weka.filters.AllFilter-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.PrincipalComponents -R 0.15 -A 5 -M -1-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 90.0 -no-replacement-Fweka.filters.AllFilter'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute Class {opel,saab,bus,van}

@data
4.039607,van
-3.596249,opel
1.110482,bus
-2.091421,opel
1.386216,van
-4.0375,opel
-4.595743,saab
4.421821,van
4.447546,van
0.825455,bus
-5.955291,bus
3.039917,van
-0.589824,bus
2.235853,bus
2.32038,bus
-4.166465,saab
-5.493241,opel
5.907932,saab
0.83945,van
0.588219,van
-3.786482,opel
-4.219091,opel
1.421239,van
3.56932,van
1.640128,bus
0.740688,bus
4.132713,saab
-0.631414,opel
2.99069,opel
-4.021695,saab
2.578548,bus
1.592697,bus
-5.262229,saab
1.705902,bus
-3.260337,opel
-1.527371,saab
3.622153,van
-0.550997,bus
0.282693,opel
2.538622,opel
0.094584,van
-4.66841,saab
3.140159,van
2.000185,van
2.756816,bus
3.267838,van
-1.198637,bus
2.040801,bus
1.433139,saab
1.254669,van
1.377018,bus
-2.062628,opel
0.873796,van
1.165208,saab
-3.381326,opel
-2.81208,saab
3.408222,opel
2.169101,opel
-1.658271,bus
2.123084,opel
-4.432548,opel
3.412259,van
2.117942,bus
1.210409,bus
1.453257,bus
3.864743,saab
-2.951755,opel
1.691167,opel
-2.900562,van
2.353834,opel
-0.443056,bus
1.037399,van
2.406521,saab
-2.906892,bus
-4.237381,saab
2.03063,bus
3.231995,van
-3.713387,opel
-3.596902,opel
-0.303395,saab
2.351074,bus
-1.205478,saab
-4.487658,saab
1.350096,bus
-1.195927,opel
1.908778,van
1.879553,bus
-4.000106,saab
1.81017,bus
1.450095,saab
-1.392568,van
3.979204,opel
1.412279,van
-1.924742,saab
-3.634478,bus
-3.467125,saab
-4.93068,opel
-6.031585,bus
2.878799,van
4.281198,van
2.322314,bus
-2.285142,opel
-4.52402,opel
2.703326,van
0.291379,van
1.53059,bus
-2.674441,opel
-5.216178,bus
-4.222868,opel
1.926459,opel
-3.013904,opel
0.61547,saab
-3.059955,van
4.601126,saab
-4.396153,opel
-0.666293,bus
4.77023,van
-4.845494,saab
-5.262752,opel
1.165106,van
-4.167872,opel
1.739653,opel
5.741583,van
0.150497,saab
1.090895,opel
1.609157,bus
1.758903,van
0.838187,van
3.039548,van
-3.561382,bus
-3.797042,opel
-3.390661,saab
-0.433133,opel
-3.778456,saab
2.520888,opel
1.571449,bus
-4.158585,saab
4.0688,saab
2.198797,bus
0.713897,saab
2.712583,bus
2.806443,saab
-2.901319,opel
0.919438,van
-1.659036,saab
-4.005257,saab
2.066743,bus
-3.512342,saab
-4.953096,saab
-3.474918,saab
2.868612,opel
-3.982927,saab
-3.259358,opel
1.226183,opel
1.78537,van
3.675798,opel
1.594609,bus
-3.623891,bus
4.118699,van
0.255905,bus
1.851773,bus
-3.653567,opel
3.080618,saab
-0.46239,van
-3.921736,saab
1.179217,van
-7.28955,bus
-3.998691,opel
-0.689018,opel
1.754693,bus
1.257519,van
-4.694228,saab
-4.210769,opel
2.725575,opel
-4.226615,saab
-4.97929,saab
2.137301,bus
-3.713985,saab
5.323988,opel
5.270306,opel
1.150515,opel
-1.455068,bus
1.220882,saab
4.048324,opel
-3.503604,opel
2.552532,bus
0.585862,opel
0.649668,van
0.488817,van
0.378765,van
-5.419456,opel
3.216892,saab
-0.556654,bus
1.101954,opel
-4.278595,saab
-2.583936,bus
1.945995,bus
-4.762113,opel
2.3551,opel
-6.515252,bus
2.226581,bus
2.84023,saab
3.044093,van
-2.73128,opel
-2.565423,opel
-4.619468,opel
2.677441,bus
-5.219399,saab
-0.875201,bus
-4.750536,opel
3.984583,van
-4.970828,saab
-4.350967,saab
-0.37233,bus
1.675538,bus
2.126991,opel
1.341616,bus
-2.51251,saab
2.176197,bus
-4.101443,opel
0.832099,opel
-3.915158,opel
-2.810364,saab
-2.384782,saab
-3.848367,opel
-3.759058,saab
-3.005612,opel
-3.853333,bus
4.461139,opel
1.322582,saab
2.400484,bus
-4.797244,saab
0.175619,opel
-4.881249,saab
