@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z20.0-no-replacement

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
88,36,78,160,62,6,140,48,18,123,161,287,129,66,4,35,194,202,opel
85,40,66,121,52,4,152,44,19,133,170,340,163,87,13,3,180,183,opel
95,42,96,197,65,9,178,37,21,141,199,474,149,67,1,29,193,200,opel
100,49,96,206,63,9,186,35,22,156,202,519,176,62,3,5,197,205,opel
97,50,108,211,65,10,214,31,24,156,232,683,218,72,7,29,188,197,opel
107,52,103,186,57,11,214,31,24,162,217,676,189,66,6,5,189,198,opel
90,39,86,169,62,7,162,41,20,131,194,388,147,74,1,22,185,191,opel
97,59,108,227,70,11,224,30,25,186,225,732,218,70,10,25,186,198,opel
77,38,75,144,59,6,147,46,19,132,167,315,136,80,16,20,181,187,opel
82,39,86,140,54,7,153,45,19,134,174,338,139,71,11,18,183,189,opel
90,36,78,179,64,8,157,42,19,126,182,367,142,66,1,20,192,198,opel
92,46,82,170,58,8,165,40,20,149,181,409,164,61,8,11,200,208,opel
107,52,101,218,64,11,202,33,23,164,219,610,192,65,17,2,197,206,opel
86,41,66,129,55,7,135,50,18,136,154,266,165,74,3,4,180,187,opel
91,41,93,197,65,9,183,36,21,137,202,504,153,66,11,24,193,200,opel
91,52,98,196,62,9,193,34,22,161,216,562,244,69,3,1,190,199,opel
98,58,101,208,65,12,226,30,25,182,225,748,216,71,6,1,185,196,opel
102,54,101,190,58,10,222,30,25,171,224,728,203,71,13,6,189,198,opel
87,45,82,164,60,8,156,42,19,144,181,366,174,70,2,2,190,196,opel
85,38,63,130,55,7,122,55,17,130,137,219,144,64,20,8,195,201,opel
101,55,105,182,59,10,215,31,24,177,221,678,223,74,12,26,186,195,opel
