@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z90.0-no-replacement-V

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
103,54,107,189,56,11,223,30,25,174,225,729,200,70,0,29,187,201,opel
99,52,104,177,55,10,210,32,24,166,219,657,215,73,3,2,187,194,opel
87,44,98,211,70,10,189,35,22,141,214,535,178,71,2,21,187,194,opel
101,48,107,222,68,10,208,32,24,154,232,641,204,70,5,38,190,202,opel
82,40,73,141,57,8,153,44,19,133,173,342,153,75,11,9,181,187,opel
104,58,103,230,69,11,219,30,25,176,231,716,246,71,7,4,187,196,opel
95,43,96,202,65,10,189,35,22,143,217,534,166,71,6,27,190,197,opel
98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186,195,opel
88,38,77,156,56,7,163,41,20,129,184,395,140,67,1,9,192,198,opel
100,51,109,231,70,11,220,30,25,163,238,722,206,73,11,19,189,198,opel
93,43,78,166,59,7,151,44,19,141,182,342,174,68,15,2,193,197,opel
106,53,98,203,63,11,220,30,25,167,228,710,214,71,10,24,188,197,opel
96,55,98,161,54,10,215,31,24,175,226,683,221,76,3,6,185,193,opel
92,46,79,176,64,8,162,41,20,149,183,396,178,67,2,10,191,198,opel
89,47,81,156,57,8,161,41,20,149,187,388,197,72,9,15,187,193,opel
73,37,53,111,54,6,126,55,18,128,135,227,147,82,1,15,176,184,opel
89,38,78,153,61,7,146,46,19,127,166,314,142,69,0,9,187,194,opel
100,57,107,207,63,11,227,30,25,180,234,756,205,72,6,19,186,198,opel
80,38,64,130,59,8,134,51,18,126,152,259,135,76,1,23,179,188,opel
103,55,103,211,65,11,212,31,24,165,229,673,249,72,5,16,188,196,opel
103,41,83,194,63,9,175,38,21,142,199,455,138,65,7,30,197,206,opel
97,48,94,198,63,9,181,36,21,155,200,494,189,64,20,11,199,203,opel
83,37,54,131,61,4,135,50,18,127,152,271,141,85,3,6,180,183,saab
93,44,98,197,62,11,183,36,22,146,202,505,152,64,4,14,195,204,saab
86,40,66,138,59,4,137,49,18,133,162,279,151,74,6,14,186,190,saab
106,54,101,222,67,12,222,30,25,173,228,721,200,70,3,4,187,201,saab
104,53,101,199,65,11,213,31,24,168,216,667,221,72,12,12,187,198,saab
95,45,105,208,64,10,187,36,22,150,202,520,158,64,7,32,198,211,saab
85,34,53,127,58,6,116,58,17,121,137,197,127,70,3,20,185,189,saab
80,38,63,129,55,7,146,46,19,130,168,314,158,83,9,20,180,185,saab
102,51,104,217,67,10,204,32,23,162,220,621,195,68,3,19,188,197,saab
109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188,201,saab
