@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-V

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
103,54,107,189,56,11,223,30,25,174,225,729,200,70,0,29,187,201,opel
101,56,100,215,69,10,208,32,24,169,227,651,223,74,6,5,186,193,opel
93,35,66,154,59,6,142,46,18,128,162,304,120,64,5,13,197,202,opel
101,48,107,222,68,10,208,32,24,154,232,641,204,70,5,38,190,202,opel
87,38,85,177,61,8,164,40,20,129,186,402,130,63,1,25,198,205,opel
94,46,79,181,62,8,167,40,20,148,190,418,193,67,12,15,191,198,opel
98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188,197,opel
89,36,72,141,56,7,138,48,18,126,163,286,130,72,1,1,187,192,opel
88,38,77,156,56,7,163,41,20,129,184,395,140,67,1,9,192,198,opel
77,38,63,135,59,5,130,52,18,130,145,247,139,79,13,21,183,187,opel
93,43,78,166,59,7,151,44,19,141,182,342,174,68,15,2,193,197,opel
106,53,98,203,63,11,220,30,25,167,228,710,214,71,10,24,188,197,opel
96,55,98,161,54,10,215,31,24,175,226,683,221,76,3,6,185,193,opel
106,53,98,192,58,11,217,31,24,166,228,693,191,71,11,24,188,198,opel
89,47,81,156,57,8,161,41,20,149,187,388,197,72,9,15,187,193,opel
73,37,53,111,54,6,126,55,18,128,135,227,147,82,1,15,176,184,opel
89,38,78,153,61,7,146,46,19,127,166,314,142,69,0,9,187,194,opel
100,57,107,207,63,11,227,30,25,180,234,756,205,72,6,19,186,198,opel
80,38,64,130,59,8,134,51,18,126,152,259,135,76,1,23,179,188,opel
90,41,78,145,55,7,138,48,18,138,161,284,158,67,0,1,192,197,opel
97,37,76,169,60,8,161,41,20,131,189,391,136,72,0,0,188,192,opel
97,48,94,198,63,9,181,36,21,155,200,494,189,64,20,11,199,203,opel
88,40,79,183,62,7,176,38,21,138,200,462,150,66,0,29,189,199,opel
97,55,96,170,54,10,216,31,24,173,219,685,218,75,0,4,184,193,opel
100,51,109,231,70,11,220,30,25,163,238,722,206,73,11,19,189,198,opel
82,40,73,141,57,8,153,44,19,133,173,342,153,75,11,9,181,187,opel
104,56,96,231,74,11,220,30,25,172,223,713,218,73,6,16,186,195,opel
102,54,100,163,53,10,213,31,24,173,219,669,201,76,12,27,187,195,opel
103,41,83,194,63,9,175,38,21,142,199,455,138,65,7,30,197,206,opel
102,52,98,225,71,10,214,31,24,164,228,682,199,71,0,16,187,196,opel
95,43,96,202,65,10,189,35,22,143,217,534,166,71,6,27,190,197,opel
87,44,98,211,70,10,189,35,22,141,214,535,178,71,2,21,187,194,opel
85,36,78,149,55,7,147,45,19,128,168,321,134,64,10,24,197,203,opel
103,55,103,211,65,11,212,31,24,165,229,673,249,72,5,16,188,196,opel
103,48,101,204,62,12,200,33,23,158,215,595,164,66,8,22,192,202,opel
92,46,79,176,64,8,162,41,20,149,183,396,178,67,2,10,191,198,opel
98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186,195,opel
103,54,91,179,57,11,220,31,25,170,220,707,198,72,1,32,186,198,opel
99,52,104,177,55,10,210,32,24,166,219,657,215,73,3,2,187,194,opel
84,39,90,180,60,7,177,37,21,131,209,469,145,71,4,38,190,198,opel
106,55,96,196,60,12,221,30,25,173,225,717,214,72,9,13,186,196,opel
92,42,69,153,58,8,140,48,18,138,165,290,151,64,10,21,199,206,opel
104,58,103,230,69,11,219,30,25,176,231,716,246,71,7,4,187,196,opel
97,44,95,202,66,9,188,35,22,144,216,526,175,72,15,11,190,197,saab
93,39,86,180,59,9,167,39,20,134,186,418,129,63,6,17,197,204,saab
90,36,74,171,60,8,157,42,19,128,177,367,123,61,6,21,197,204,saab
93,34,72,144,56,6,133,50,18,123,158,263,125,63,5,20,200,206,saab
99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab
83,36,54,119,57,6,128,53,18,125,143,238,139,82,6,3,179,183,saab
112,50,110,186,56,11,214,31,24,159,232,676,203,71,18,27,191,202,saab
101,56,101,231,72,10,217,31,24,171,232,698,216,72,2,6,187,197,saab
89,48,85,189,64,8,169,39,20,153,188,427,190,64,16,5,195,201,saab
88,48,90,178,60,8,175,38,21,152,200,460,198,68,13,16,192,199,saab
107,54,96,201,62,12,218,31,24,170,221,694,217,71,2,21,187,198,saab
93,47,88,200,66,7,173,38,21,151,197,452,205,66,0,3,195,202,saab
89,38,82,156,59,8,153,43,19,129,179,351,137,70,1,1,187,192,saab
79,38,55,120,55,5,142,48,19,128,153,295,145,81,4,2,180,183,saab
91,43,72,142,56,7,149,45,19,140,168,327,165,72,13,23,186,191,saab
97,44,96,195,63,9,185,36,22,144,202,512,165,66,4,8,191,199,saab
105,54,106,215,68,10,208,32,24,166,217,640,218,69,14,23,189,199,saab
86,40,62,140,62,7,150,45,19,133,165,330,173,82,2,3,180,185,saab
105,53,105,184,57,11,211,31,24,168,224,661,218,71,0,15,186,197,saab
88,45,82,155,56,8,154,43,19,149,180,357,170,69,3,0,188,193,saab
105,53,108,206,63,12,222,31,25,168,226,712,201,71,15,35,189,203,saab
117,52,110,228,65,12,212,31,24,163,228,668,220,66,21,25,194,205,saab
109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188,201,saab
100,54,102,206,65,10,198,33,23,164,224,587,240,72,4,11,187,196,saab
98,51,96,203,66,10,188,35,22,157,207,533,231,68,10,1,191,199,saab
100,46,104,184,60,9,197,34,23,147,222,578,198,73,13,13,189,197,saab
86,36,77,165,60,7,150,45,19,128,174,331,131,66,0,32,196,203,saab
105,51,108,201,62,11,220,30,25,163,232,711,202,72,12,16,189,200,saab
92,46,83,154,56,6,160,41,20,148,185,382,184,71,10,5,186,191,saab
100,52,104,189,59,10,208,32,24,163,220,642,197,70,1,22,187,198,saab
91,40,83,166,60,8,160,41,20,133,189,383,155,72,5,7,186,191,saab
100,46,81,187,61,9,166,40,20,154,189,415,175,63,13,9,198,207,saab
82,36,51,114,53,4,135,50,18,126,150,268,144,86,15,4,181,182,saab
106,52,108,207,64,12,221,31,25,168,229,709,200,73,22,38,190,205,saab
98,39,81,191,64,9,166,40,20,138,184,415,131,62,8,19,197,205,saab
97,55,104,219,71,9,211,32,24,171,222,658,223,74,1,24,186,196,saab
107,53,108,211,63,11,219,31,25,168,228,704,198,69,10,21,190,203,saab
96,40,78,170,58,7,174,38,21,139,197,455,160,68,3,29,191,200,saab
91,38,75,136,53,6,144,47,19,131,165,305,149,69,1,7,186,191,saab
104,55,100,201,66,10,214,31,24,173,224,680,221,74,1,1,185,194,saab
98,47,109,202,59,11,199,34,23,154,207,586,165,61,1,33,194,208,saab
93,39,63,146,58,7,128,52,18,134,149,246,158,63,9,7,198,204,saab
102,55,101,213,67,12,222,30,25,177,226,719,213,71,2,21,187,199,saab
88,37,57,132,62,6,135,50,18,125,151,265,144,83,16,16,180,184,saab
85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180,183,bus
86,45,73,152,63,6,149,44,19,145,170,335,176,71,6,1,189,196,bus
87,42,70,139,59,7,149,45,19,142,177,327,156,78,6,9,185,188,bus
82,44,72,136,61,7,147,46,19,143,173,317,183,81,6,17,181,185,bus
113,57,109,194,56,6,260,26,28,175,288,982,261,85,11,21,182,183,bus
83,46,68,139,59,6,150,44,19,146,172,336,183,74,5,3,185,191,bus
84,43,76,180,75,7,155,43,19,143,180,359,173,77,5,12,185,190,bus
88,44,71,165,70,7,144,46,19,141,167,312,172,71,4,4,188,193,bus
96,37,74,199,74,5,165,39,20,128,188,419,136,72,1,3,196,200,bus
98,46,77,199,71,7,166,39,20,150,184,422,180,69,13,9,200,203,bus
102,51,92,194,60,6,220,30,25,162,247,731,209,80,7,7,188,186,bus
106,54,100,227,67,4,250,27,27,162,280,923,262,88,5,11,182,182,bus
96,36,74,183,70,6,149,43,19,127,178,341,127,69,0,17,201,205,bus
87,44,70,179,75,6,146,45,19,141,167,326,178,69,6,1,194,201,bus
95,43,71,159,64,6,145,45,19,141,169,322,171,67,8,4,195,200,bus
85,42,59,132,58,7,149,46,19,144,166,320,172,83,8,4,179,182,bus
93,45,86,201,69,7,184,35,22,145,203,523,183,72,0,4,194,197,bus
87,43,65,127,56,8,149,46,19,143,169,322,171,85,6,3,180,182,bus
98,49,84,219,74,7,190,34,22,154,208,558,209,74,4,7,195,195,bus
92,39,76,180,71,6,152,43,19,131,179,350,143,72,6,14,195,200,bus
89,44,68,113,50,7,150,45,19,147,171,328,189,88,6,5,179,182,bus
94,37,72,193,72,6,158,41,19,133,184,385,127,70,0,14,200,204,bus
89,41,75,162,66,5,153,43,19,136,175,352,154,72,2,0,188,195,bus
83,46,73,137,59,6,148,45,19,146,167,327,183,75,8,0,185,191,bus
102,53,101,238,72,4,238,28,26,163,267,844,242,85,7,22,184,184,bus
83,46,71,156,70,6,151,44,19,147,174,338,198,80,3,11,181,186,bus
84,45,66,154,65,6,145,46,19,144,168,312,177,73,2,3,184,188,bus
102,54,98,201,61,6,225,29,25,165,246,766,231,79,9,14,188,187,bus
84,43,70,123,54,8,151,45,19,146,173,332,176,81,1,12,181,184,bus
82,43,73,158,68,7,151,44,19,145,181,337,173,80,2,17,183,188,bus
107,55,103,167,49,7,252,27,28,172,269,904,239,83,5,30,179,186,bus
94,37,73,186,71,7,154,42,19,127,171,362,132,67,2,8,197,206,bus
