@relation vehicle-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0-no-replacement

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute Class {opel,saab,bus,van}

@data
97,46,94,209,67,10,195,34,22,147,224,573,194,70,0,14,188,197,opel
99,55,101,206,62,13,222,30,25,180,225,722,213,71,2,3,186,196,opel
96,55,103,201,65,9,204,32,23,166,227,624,246,74,6,2,186,194,opel
98,55,108,168,53,11,224,30,25,178,231,737,217,73,8,30,187,198,opel
105,55,96,181,56,9,219,30,25,175,231,713,216,74,4,5,187,194,opel
84,38,66,138,62,6,126,54,18,132,144,232,139,70,4,7,185,190,opel
85,37,80,158,59,8,153,44,19,126,179,348,136,69,6,21,191,197,opel
93,35,78,162,60,8,150,45,19,125,172,331,137,67,2,33,191,198,opel
104,54,91,209,67,11,218,31,24,170,223,697,196,74,4,21,187,196,opel
78,36,60,116,56,6,123,55,17,124,141,221,121,78,3,16,178,185,opel
95,57,104,228,74,10,212,31,24,175,224,670,223,74,0,4,186,193,opel
86,44,77,155,60,7,152,44,19,141,174,345,161,72,9,0,187,192,opel
96,48,83,177,59,8,171,39,21,152,195,438,196,67,15,0,195,201,opel
101,52,105,162,53,10,212,31,24,163,226,669,204,74,12,11,186,194,opel
100,45,100,209,65,8,201,32,23,147,231,611,189,72,5,5,189,195,opel
80,39,60,122,56,6,139,49,18,131,151,281,142,80,0,5,179,186,opel
89,42,75,140,55,6,145,46,19,139,170,312,166,71,15,26,191,198,opel
91,35,66,159,59,7,147,45,19,131,169,322,123,64,1,1,197,203,opel
86,36,66,128,57,8,131,52,18,127,148,252,139,76,5,27,183,187,opel
86,39,84,149,57,8,156,43,20,133,185,358,157,74,0,23,183,190,opel
104,52,101,206,62,10,198,33,23,161,207,587,204,64,2,5,195,204,opel
103,49,100,194,60,10,185,35,22,160,202,518,178,62,13,8,198,208,saab
112,50,110,186,56,11,214,31,24,159,232,676,203,71,18,27,191,202,saab
82,36,54,117,53,7,125,54,18,126,146,229,128,78,1,5,180,184,saab
94,38,88,179,60,7,170,39,21,131,188,435,144,66,2,28,195,204,saab
112,50,104,197,58,11,208,32,24,159,223,639,186,67,15,22,191,202,saab
82,36,51,114,53,4,135,50,18,126,150,268,144,86,15,4,181,182,saab
82,37,59,134,63,7,135,51,18,128,151,264,143,82,11,24,179,185,saab
104,54,101,197,64,11,213,31,24,172,218,669,222,74,14,4,187,196,saab
89,36,69,162,63,6,140,48,18,131,164,291,126,66,1,38,193,204,saab
115,51,100,201,60,12,196,34,23,162,207,573,184,62,22,1,198,208,saab
108,49,103,200,62,10,206,32,23,155,227,635,215,72,6,16,189,198,saab
111,50,103,199,60,11,211,31,24,156,223,663,188,68,9,9,190,200,saab
82,37,66,126,54,7,132,52,18,127,148,252,142,72,17,7,183,187,saab
95,37,71,171,61,9,157,43,20,134,178,365,125,63,5,40,196,208,saab
110,46,100,197,61,9,193,34,22,149,209,561,160,65,11,7,194,203,saab
90,36,85,184,64,6,160,41,20,125,187,385,139,66,9,31,195,203,saab
109,54,103,205,63,11,222,30,25,175,229,720,213,71,6,14,187,200,saab
86,40,66,138,59,4,137,49,18,133,162,279,151,74,6,14,186,190,saab
108,56,103,234,73,10,221,30,25,174,232,718,214,73,8,3,187,197,saab
109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188,201,saab
98,39,81,191,64,9,166,40,20,138,184,415,131,62,8,19,197,205,saab
96,47,77,204,72,6,167,38,20,150,188,429,182,69,6,16,199,203,bus
82,44,63,123,54,7,151,45,19,147,166,329,185,81,3,4,179,182,bus
85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180,183,bus
78,43,70,147,65,8,147,46,19,145,169,319,168,77,1,12,181,186,bus
85,43,66,123,55,7,150,45,19,146,172,326,173,83,4,15,180,183,bus
88,44,70,151,61,8,143,46,18,143,163,311,173,68,7,8,196,203,bus
87,41,73,158,64,7,151,44,19,138,175,341,152,73,3,8,190,194,bus
80,44,68,120,53,8,151,45,19,146,170,333,190,80,4,16,180,185,bus
86,45,73,152,63,6,149,44,19,145,170,335,176,71,6,1,189,196,bus
92,37,75,184,70,6,154,42,19,131,184,363,127,71,0,4,198,202,bus
83,46,73,137,59,6,148,45,19,146,167,327,183,75,8,0,185,191,bus
100,48,95,209,68,7,199,32,23,150,216,605,200,73,7,11,192,194,bus
107,55,98,199,59,7,240,27,26,168,258,866,245,80,3,1,186,184,bus
80,43,68,123,53,7,150,46,19,147,169,327,176,81,7,14,179,184,bus
97,47,88,183,60,7,197,33,23,148,214,596,201,74,8,0,192,191,bus
88,44,71,165,70,7,144,46,19,141,167,312,172,71,4,4,188,193,bus
114,57,102,181,52,6,257,26,28,169,287,968,261,85,2,21,182,184,bus
100,50,98,204,63,6,218,30,24,156,232,719,213,77,8,7,189,189,bus
80,43,71,133,60,7,150,45,19,146,170,330,176,81,6,15,180,184,bus
85,42,66,120,53,7,149,46,19,143,169,321,160,85,10,7,180,182,bus
88,39,70,166,66,7,148,44,19,134,167,332,143,69,5,13,193,201,bus
90,44,69,152,64,7,135,49,18,145,165,272,162,75,3,2,187,191,van
89,46,84,163,66,11,159,43,20,159,173,368,176,72,1,20,186,197,van
94,45,81,166,67,9,145,46,19,147,164,313,179,66,11,14,194,202,van
83,45,73,161,68,8,142,46,18,144,169,305,179,71,10,3,191,199,van
96,45,87,169,67,10,154,44,19,149,167,351,174,67,9,8,192,201,van
94,45,85,160,63,10,158,43,20,157,174,367,162,68,1,6,189,199,van
86,39,60,140,60,7,119,55,17,134,140,212,141,61,7,8,200,207,van
85,45,73,167,69,8,143,46,18,148,173,307,176,71,2,0,190,199,van
97,47,87,164,64,9,156,43,20,149,173,359,182,68,1,13,192,202,van
100,46,85,164,64,11,163,42,20,163,176,387,170,71,18,0,189,196,van
